"gene","drug","drug_concept_id","interaction_score","interaction_types","sources","key"
"CRP","LY2077855","iuphar.ligand:8989",6.52547481986069,"","GuideToPharmacology","LY2077855|iuphar.ligand:8989"
"CRP","OL135","iuphar.ligand:5235",3.26273740993034,"","GuideToPharmacology","OL135|iuphar.ligand:5235"
"CRP","WARFARIN","rxcui:11289",0.3954833224158,"","PharmGKB","WARFARIN|rxcui:11289"
"CRP","ASP8477","iuphar.ligand:10248",3.26273740993034,"","GuideToPharmacology","ASP8477|iuphar.ligand:10248"
"CRP","URB597","iuphar.ligand:4339",1.30509496397214,"","GuideToPharmacology","URB597|iuphar.ligand:4339"
"CRP","ROSUVASTATIN","rxcui:301542",0.543789568321724,"","PharmGKB","ROSUVASTATIN|rxcui:301542"
"COL13A1","CRISABOROLE","rxcui:1865953",3.72884275420611,"","GuideToPharmacology","CRISABOROLE|rxcui:1865953"
"COL13A1","BRL50481","iuphar.ligand:5154",6.52547481986069,"","GuideToPharmacology","BRL50481|iuphar.ligand:5154"
"CD4","ANTI-THYMOCYTE GLOBULIN","ncit:C278",0.29661249181185,"","TdgClinicalTrial","ANTI-THYMOCYTE GLOBULIN|ncit:C278"
"CD4","KELIXIMAB","ncit:C188517",3.26273740993034,"","ChEMBL","KELIXIMAB|ncit:C188517"
"CD4","ZANOLIMUMAB","ncit:C91701",9.78821222979104,"","ChEMBL;TdgClinicalTrial;TTD","ZANOLIMUMAB|ncit:C91701"
"CD4","IBALIZUMAB","rxcui:2043283",3.26273740993034,"","ChEMBL;TTD","IBALIZUMAB|rxcui:2043283"
"CD4","HERBIMYCIN","ncit:C1124",3.26273740993034,"","NCI","HERBIMYCIN|ncit:C1124"
"CD4","TREGALIZUMAB","iuphar.ligand:9864",3.26273740993034,"","TdgClinicalTrial;TTD","TREGALIZUMAB|iuphar.ligand:9864"
"CD4","TREGALIZUMAB","ncit:C152722",3.26273740993034,"","ChEMBL","TREGALIZUMAB|ncit:C152722"
