"gene","drug","drug_concept_id","interaction_score","interaction_types","sources","key"
"ARRB1","[3H]GABAZINE","iuphar.ligand:4083",0.141473708831668,"","GuideToPharmacology","[3H]GABAZINE|iuphar.ligand:4083"
"ARRB1","[18F]FLUOROETHYLFLUMAZENIL","iuphar.ligand:4368",0.212210563247502,"","GuideToPharmacology","[18F]FLUOROETHYLFLUMAZENIL|iuphar.ligand:4368"
"ARRB1","[3H]CGS8216","iuphar.ligand:4366",0.212210563247502,"","GuideToPharmacology","[3H]CGS8216|iuphar.ligand:4366"
"ARRB1","TETRAHYDRODEOXYCORTICOSTERONE","iuphar.ligand:4321",0.212210563247502,"","GuideToPharmacology","TETRAHYDRODEOXYCORTICOSTERONE|iuphar.ligand:4321"
"ARRB1","[35S]TBPS","iuphar.ligand:4369",0.212210563247502,"","GuideToPharmacology","[35S]TBPS|iuphar.ligand:4369"
"ARRB1","BICUCULLINE","iuphar.ligand:2312",0.181894768497859,"","GuideToPharmacology","BICUCULLINE|iuphar.ligand:2312"
"ARRB1","BRETAZENIL","ncit:C72111",0.212210563247502,"","GuideToPharmacology","BRETAZENIL|ncit:C72111"
"ARRB1","FLUMAZENIL","rxcui:4457",0.0530526408118755,"","GuideToPharmacology","FLUMAZENIL|rxcui:4457"
"ARRB1","ISOGUVACINE","iuphar.ligand:4226",0.141473708831668,"","GuideToPharmacology","ISOGUVACINE|iuphar.ligand:4226"
"ARRB1","TP003","iuphar.ligand:4326",0.318315844871253,"","GuideToPharmacology","TP003|iuphar.ligand:4326"
"ARRB1","TRIAZOLAM","rxcui:10767",0.0385837387722731,"","GuideToPharmacology","TRIAZOLAM|rxcui:10767"
"ARRB1","ZK93423","iuphar.ligand:4346",0.318315844871253,"","GuideToPharmacology","ZK93423|iuphar.ligand:4346"
"ARRB1","COMPOUND 20 [PMID: 35584373]","iuphar.ligand:12118",1.27326337948501,"","GuideToPharmacology","COMPOUND 20 [PMID: 35584373]|iuphar.ligand:12118"
"ARRB1","PICROTOXIN","drugbank:DB00466",0.0553592773689136,"","GuideToPharmacology","PICROTOXIN|drugbank:DB00466"
"ARRB1","L655708","iuphar.ligand:4238",1.27326337948501,"","GuideToPharmacology","L655708|iuphar.ligand:4238"
"ARRB1","ZN2+","iuphar.ligand:566",0.0578756081584097,"","GuideToPharmacology","ZN2+|iuphar.ligand:566"
"ARRB1","MRK016","iuphar.ligand:4257",0.318315844871253,"","GuideToPharmacology","MRK016|iuphar.ligand:4257"
"ARRB1","ISONIPECOTIC ACID","iuphar.ligand:4227",0.106105281623751,"","GuideToPharmacology","ISONIPECOTIC ACID|iuphar.ligand:4227"
"ARRB1","RO19-4603","iuphar.ligand:4297",0.159157922435627,"","GuideToPharmacology","RO19-4603|iuphar.ligand:4297"
"ARRB1","&ALPHA;5IA","iuphar.ligand:4095",0.318315844871253,"","GuideToPharmacology","&ALPHA;5IA|iuphar.ligand:4095"
"ARRB1","[3H]MUSCIMOL","iuphar.ligand:4090",0.141473708831668,"","GuideToPharmacology","[3H]MUSCIMOL|iuphar.ligand:4090"
"ARRB1","GABOXADOL","ncit:C72791",0.0553592773689136,"","GuideToPharmacology","GABOXADOL|ncit:C72791"
"ARRB1","BREXANOLONE","rxcui:2121777",0.0606315894992863,"","GuideToPharmacology","BREXANOLONE|rxcui:2121777"
"ARRB1","RO4938581","iuphar.ligand:4299",0.318315844871253,"","GuideToPharmacology","RO4938581|iuphar.ligand:4299"
"ARRB1","CGS8216","iuphar.ligand:4156",0.254652675897003,"","GuideToPharmacology","CGS8216|iuphar.ligand:4156"
"ARRB1","RO15-4513","iuphar.ligand:4296",0.212210563247502,"","GuideToPharmacology","RO15-4513|iuphar.ligand:4296"
"ARRB1","OCINAPLON","ncit:C81614",0.0578756081584097,"","GuideToPharmacology","OCINAPLON|ncit:C81614"
"ARRB1","BASMISANIL","ncit:C167009",0.636631689742507,"","GuideToPharmacology","BASMISANIL|ncit:C167009"
"ARRB1","FLUNITRAZEPAM","rxcui:4460",0.0578756081584097,"","GuideToPharmacology","FLUNITRAZEPAM|rxcui:4460"
"ARRB1","&ALPHA;3IA","iuphar.ligand:4094",0.318315844871253,"","GuideToPharmacology","&ALPHA;3IA|iuphar.ligand:4094"
"ARRB1","L838417","iuphar.ligand:4241",0.318315844871253,"","GuideToPharmacology","L838417|iuphar.ligand:4241"
"ARRB1","ZK93426","iuphar.ligand:4347",0.318315844871253,"","GuideToPharmacology","ZK93426|iuphar.ligand:4347"
"ARRB1","ONO-8590580","iuphar.ligand:9908",1.27326337948501,"","GuideToPharmacology","ONO-8590580|iuphar.ligand:9908"
"C9","FLUFENAMIC ACID","rxcui:4453",0.686892086301125,"","GuideToPharmacology","FLUFENAMIC ACID|rxcui:4453"
"C9","CARBENOXOLONE","ncit:C63669",1.08757913664345,"","GuideToPharmacology","CARBENOXOLONE|ncit:C63669"
"LRP1B","CAELYX","wikidata:Q29004943",4.35031654657379,"","CGI","CAELYX|wikidata:Q29004943"
"LRP1B","DOXORUBICIN HYDROCHLORIDE","rxcui:142433",0.117576122880373,"","CIViC","DOXORUBICIN HYDROCHLORIDE|rxcui:142433"
"LRP1B","RISPERIDONE","rxcui:35636",0.519440781680453,"","PharmGKB","RISPERIDONE|rxcui:35636"
"CALR","TRETINOIN","rxcui:10753",0.143417029007927,"","NCI","TRETINOIN|rxcui:10753"
